Notice: it is a crossflow
tfa_in(c), tfa_out(c), humidfa_in(kg/kg), humidfa_out(kg/kg), rhfa_in, rhfa_out, Pvapfa_in(pa), Pvapfa_out(pa),	tpf_in(c), tpf_out(c), humidpf_in(kg / kg), humidpf_out(kg / kg), rhpf_in, rhpf_out, Pvappf_in(pa), Pvappf_out(pa)
35, 28.7351, 0.0211578, 0.0141326, 0.59, 0.568087, 3297.57, 2227.2, 27, 33.2652, 0.0121019, 0.0190648, 0.54, 0.587448, 1913.34, 2981.15
tfa(c)_MAP
D/L_index, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20
17, 27.0378, 27.0955, 27.1805, 27.2947, 27.4387, 27.612, 27.8132, 28.0402, 28.2901, 28.5598, 28.8456, 29.144, 29.4512, 29.7638, 30.0784, 30.3918, 30.7013, 31.0044, 31.2991, 31.5834, 31.8562
18, 27.0287, 27.0747, 27.1442, 27.2396, 27.3621, 27.512, 27.6887, 27.8909, 28.1165, 28.3628, 28.6271, 28.906, 29.1964, 29.4949, 29.7982, 30.1034, 30.4076, 30.7083, 31.0031, 31.29, 31.5675
19, 27.0218, 27.0583, 27.115, 27.1944, 27.2982, 27.4274, 27.5818, 27.7609, 27.9633, 28.1871, 28.4298, 28.6889, 28.9615, 29.2444, 29.5348, 29.8298, 30.1264, 30.4222, 30.7146, 31.0017, 31.2816
20, 27.0165, 27.0455, 27.0916, 27.1575, 27.2452, 27.3559, 27.4903, 27.6482, 27.8289, 28.031, 28.2527, 28.4919, 28.746, 29.0125, 29.2886, 29.5716, 29.8588, 30.1475, 30.4355, 30.7205, 31.0005
tpf(c)_MAP
D/L_index, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20
0, 28.9513, 30.4196, 31.5268, 32.3634, 32.9967, 33.4768, 33.8412, 34.118, 34.3286, 34.4887, 34.6106, 34.7034, 34.7741, 34.8279, 34.8689, 34.9001, 34.9239, 34.942, 34.9558, 34.9664, 34.9744
1, 28.4805, 29.7102, 30.7238, 31.5543, 32.2312, 32.7806, 33.225, 33.5833, 33.8714, 34.1025, 34.2874, 34.4351, 34.5528, 34.6465, 34.7209, 34.7799, 34.8266, 34.8635, 34.8927, 34.9157, 34.9339
2, 28.1238, 29.1441, 30.0512, 30.8449, 31.5307, 32.1172, 32.6147, 33.0337, 33.3845, 33.6768, 33.9192, 34.1195, 34.2843, 34.4196, 34.5302, 34.6205, 34.694, 34.7537, 34.802, 34.8411, 34.8727
3, 27.8532, 28.6934, 29.4913, 30.2295, 30.8991, 31.4971, 32.0245, 32.4849, 32.8834, 33.2258, 33.5181, 33.7663, 33.9761, 34.1525, 34.3004, 34.4239, 34.5266, 34.6119, 34.6824, 34.7406, 34.7886
